sim_index,success,n_nodes,n_elems,coverage_percent,almen_MPa,V,D_mm,n_shots,pattern_mode,elapsed_s,error
295,True,2601,2500,20.008135831685326,-1598.144128,29.94491936433873,0.34504624435226455,112,sparse,4.55229620001046,
296,True,2601,2500,73.00981990999284,-2617.146112,48.25543084369021,0.6479379075480984,70,uniform,2.973512299999129,
297,True,2601,2500,41.31143288736791,-1816.385792,27.609253856772543,0.49278188803882367,88,bimodal,3.4349023000104353,
298,True,2601,2500,68.88960228284145,-3493.757184,43.108102286217466,0.7368765150401109,63,sparse,2.2795925000100397,
299,True,2601,2500,59.278583019492736,-2986.37568,49.91960283099409,0.5677295546996503,47,random,1.5622099000029266,
300,True,2601,2500,88.81276780455507,-3989.627136,48.46295310340637,0.6919489633354592,112,bimodal,3.8856102999998257,
301,True,2601,2500,30.711520784833546,-1768.5984,39.02592315182681,0.44020012214432297,56,sparse,1.9498162000090815,
302,True,2601,2500,76.77315128560603,-3890.556928,51.59112027218417,0.7941681881215406,82,gradient,3.0422449000179768,
303,True,2601,2500,28.038375325948994,-2093.628416,32.50513466992285,0.5917752746052544,47,bimodal,1.5095956000150181,
304,True,2601,2500,66.78206978865691,-2485.702912,44.66963524274129,0.9292005198291394,34,random,1.2035518999909982,
305,True,2601,2500,85.64487802039164,-3568.963584,50.03293829414163,0.7842199710011606,79,gradient,2.7140185000025667,
306,True,2601,2500,50.2800875783081,-2400.926208,27.03317308298504,0.5105895033019703,95,sparse,3.3835095000104047,
307,True,2601,2500,84.91677896027527,-4428.098048,47.152211538965645,0.7715714768535392,99,sparse,3.421566399978474,
308,True,2601,2500,43.061986611970895,-1767.874816,49.021814049205325,0.6840183630283171,41,gradient,1.3445082000107504,
309,True,2601,2500,20.428828697533007,-1839.722624,33.17410080360373,0.3432130475114877,106,random,3.708313499984797,
310,True,2601,2500,77.17500574243238,-3133.707264,43.15075060112434,0.9699229273765256,54,random,1.6924771000049077,
311,True,2601,2500,21.424883565679444,-1399.736064,30.273045478901075,0.6944109250239427,24,random,0.7481430000043474,
312,True,2601,2500,37.12001625351008,-2704.761856,44.22755796940291,0.5532579534676277,47,uniform,1.7459290000260808,
313,True,2601,2500,66.55588183012493,-3057.083904,47.11378479399953,0.6249922481718374,95,gradient,3.05610520002665,
314,True,2601,2500,88.02234212223456,-4764.73088,57.2889760895993,0.7988534701229989,91,gradient,3.169731199974194,
315,True,2601,2500,87.93071370416406,-4168.457728,52.49206640113874,0.9169862510579685,54,random,1.808677599998191,
